Year,Period,"Leading Index, 2005=100","Leading Index, 2005=100: Annual Change (Percentage)","Coincident Index, 2005=100","Coincident Index, 2005=100: Annual Change (Percentage)","Lagging Index, 2005=100","Lagging Index, 2005=100: Annual Change (Percentage)",Diffusion Index: Leading Index (Percentage),Diffusion Index: Coincident Index (Percentage)
1991,Jan,67.2,3.4,56.8,8.9,56,6.5,33.3,80
1991,Feb,68.1,3.1,57.3,8.9,56.5,6.6,50,80
1991,Mar,68.3,3.6,56.8,7.6,56.3,5.1,83.3,80
1991,Apr,68.3,4.6,57.5,10,55.8,3.6,66.7,60
1991,May,68.8,3.2,58.1,8.4,56.8,5.8,50,80
1991,Jun,68.5,2.3,58.6,10,56.4,4.8,66.7,100
1991,Jul,69.8,4.1,59.1,9.6,57,7.9,83.3,100
1991,Aug,69.4,3.7,59.5,9.3,57.8,6.6,66.7,80
1991,Sep,69,4.7,59.9,9.6,57.2,3.8,50,100
1991,Okt,69.4,2.6,60.4,9.9,57.8,3.4,66.7,100
1991,Nov,67.1,-0.8,60.7,8.1,57.5,2,50,80
1991,Dec,67.8,0.4,60.7,7.7,57.8,3.7,50,100
1992,Jan,68.5,1.9,62.2,9.6,58.3,4.1,50,100
1992,Feb,67.7,-0.5,61.7,7.7,58.6,3.7,50,80
1992,Mar,68.5,0.3,61.8,8.7,58.9,4.5,50,80
1992,Apr,68.2,-0.1,62.3,8.3,58.8,5.4,33.3,100
1992,May,68.5,-0.5,62.4,7.4,59.5,4.7,50,80
1992,Jun,68.7,0.3,62.5,6.7,60,6.4,66.7,60
1992,Jul,68.6,-1.6,63.4,7.2,59.9,5.1,50,60
1992,Aug,68.1,-1.8,63.2,6.3,59.5,3,33.3,80
1992,Sep,68.1,-1.4,62.7,4.7,60.4,5.6,33.3,60
1992,Okt,68.7,-1,64.2,6.2,61,5.5,33.3,100
1992,Nov,68.7,2.4,63.9,5.2,60.6,5.5,50,80
1992,Dec,68.8,1.5,64.4,6.1,60.5,4.6,33.3,100
1993,Jan,69.5,1.4,64.3,3.5,61.1,4.8,66.7,60
1993,Feb,69.9,3.2,66.5,7.8,61.7,5.4,50,100
1993,Mar,69.4,1.2,66.2,7.2,61.9,5.1,66.7,100
1993,Apr,72,5.6,67.3,8,62.2,5.8,83.3,100
1993,May,72.3,5.6,67.6,8.5,62.4,4.9,83.3,100
1993,Jun,72.2,5,68.4,9.4,61.4,2.2,83.3,100
1993,Jul,72.8,6,68.8,8.6,62.6,4.4,100,100
1993,Aug,73.2,7.5,68.9,8.9,62.4,5,83.3,100
1993,Sep,75.2,10.5,69.6,10.9,63.2,4.7,100,100
1993,Okt,76,10.6,69.9,8.9,63.2,3.6,83.3,100
1993,Nov,75.8,10.4,70.6,10.5,63.1,4.1,83.3,100
1993,Dec,77.8,13,69.5,8,63.2,4.5,100,60
1994,Jan,78.1,12.5,71.2,10.6,63.3,3.6,83.3,80
1994,Feb,78.8,12.8,71.1,7,64.1,3.8,83.3,100
1994,Mar,77.2,11.2,71.5,8,63.7,2.9,33.3,80
