Year,Age Group,Total ('000),Male ('000),Female ('000)
2000, 0 - 4,150,77,73
2000, 5 - 9,156,80,75.8
2000, 10 - 14,159,81,77.6
2000, 15 - 19,144,74,69.8
2000, 20 - 24,103,56,47
2000, 25 - 29,89,49,39.6
2000, 30 - 34,96,51,45.1
2000, 35 - 39,90,47,43.1
2000, 40 - 44,81,42,38.2
2000, 45 - 49,68,36,32.2
2000, 50 - 54,51,28,23
2000, 55 - 59,38,21,17.1
2000, 60 - 64,28,15,13.3
2000, 65 - 69,19,10,9.4
2000, 70 - 74,12,6,6.1
2000, 75 - 79,6,3,3.1
2000, 80 - 84,4,2,2.2
2000, 85+,3,1,1.6
2001, 0 - 4,149,76.5,72.9
2001, 5 - 9,155,80.2,75.1
2001, 10 - 14,157,81.1,76.2
2001, 15 - 19,149,76.7,71.9
2001, 20 - 24,110,59.5,50.5
2001, 25 - 29,89.5,49.5,40
2001, 30 - 34,93.8,49.9,43.9
2001, 35 - 39,91.2,47.6,43.5
2001, 40 - 44,82.1,43,39.1
2001, 45 - 49,70.3,37.1,33.3
2001, 50 - 54,54,29.3,24.7
2001, 55 - 59,39.9,22.1,17.8
2001, 60 - 64,29.6,15.8,13.9
2001, 65 - 69,20.2,10.3,9.9
2001, 70 - 74,12.6,6,6.6
2001, 75 - 79,6.4,3,3.4
2001, 80 - 84,3.9,1.7,2.2
2001, 85+,3.1,1.4,1.8
2002, 0 - 4,148.3,76.1,72.2
2002, 5 - 9,154.9,80.2,74.8
2002, 10 - 14,157,81.4,75.3
2002, 15 - 19,151.1,78.6,72.5
2002, 20 - 24,118.6,63.8,54.8
2002, 25 - 29,91.2,50.5,40.7
2002, 30 - 34,91.7,49.1,42.6
2002, 35 - 39,91.8,47.9,43.9
2002, 40 - 44,83.5,43.6,40
2002, 45 - 49,72,37.8,34.2
2002, 50 - 54,57,30.5,26.4
2002, 55 - 59,41.7,23,18.8
2002, 60 - 64,31,16.6,14.3
2002, 65 - 69,21.5,11,10.5
2002, 70 - 74,13.3,6.5,6.9
2002, 75 - 79,7.1,3.3,3.8
2002, 80 - 84,3.8,1.7,2.1
2002, 85+,3.5,1.5,2
2003, 0 - 4,146.7,75.5,71.2
2003, 5 - 9,154.4,80,74.4
2003, 10 - 14,157,82,75.1
2003, 15 - 19,151.2,79.4,71.8
2003, 20 - 24,128.2,68.7,59.5
2003, 25 - 29,93.8,52,41.8
2003, 30 - 34,90.1,48.5,41.6
2003, 35 - 39,91.9,48,43.9
2003, 40 - 44,84.8,44,40.8
2003, 45 - 49,73.7,38.5,35.2
2003, 50 - 54,59.6,31.6,28
2003, 55 - 59,44.2,24.1,20.1
2003, 60 - 64,32,17.4,14.7
2003, 65 - 69,23,11.8,11.2
2003, 70 - 74,13.9,6.9,7.1
2003, 75 - 79,7.9,3.6,4.3
2003, 80 - 84,3.8,1.8,2.1
2003, 85+,3.7,1.6,2.1
2004, 0 - 4,144.6,74.7,69.9
2004, 5 - 9,153.6,79.6,74
2004, 10 - 14,158.1,82.7,75.4
2004, 15 - 19,150,79.6,70.4
2004, 20 - 24,136.8,73.3,63.5
2004, 25 - 29,97.5,54.3,43.3
2004, 30 - 34,89.5,48.4,41.2
2004, 35 - 39,91.4,47.9,43.5
2004, 40 - 44,85.9,44.4,41.5
2004, 45 - 49,75.5,39.3,36.2
2004, 50 - 54,61.6,32.5,29.1
2004, 55 - 59,46.9,25.3,21.6
2004, 60 - 64,33,18,15
2004, 65 - 69,24.6,12.6,11.9
2004, 70 - 74,14.6,7.2,7.3
2004, 75 - 79,8.6,4,4.7
2004, 80 - 84,4,1.8,2.2
2004, 85+,3.9,1.7,2.2
2005, 0 - 4,143.4,74.3,69.1
2005, 5 - 9,152.8,79.1,73.7
2005, 10 - 14,159.1,83.1,75.9
2005, 15 - 19,149.2,79.8,69.4
2005, 20 - 24,142.9,76.8,66.1
2005, 25 - 29,102.8,57.3,45.5
2005, 30 - 34,90.1,48.8,41.3
2005, 35 - 39,90.4,47.5,42.9
2005, 40 - 44,86.6,44.6,41.9
2005, 45 - 49,77.3,40,37.3
2005, 50 - 54,63.5,33.2,30.2
2005, 55 - 59,49.7,26.5,23.2
2005, 60 - 64,34.3,18.7,15.6
2005, 65 - 69,25.9,13.4,12.5
2005, 70 - 74,15.4,7.7,7.7
2005, 75 - 79,9.3,4.3,5
2005, 80 - 84,4.3,2,2.4
2005, 85+,3.9,1.7,2.2
2006, 0 - 4,142.8,74.3,68.5
2006, 5 - 9,151.6,78.6,73
2006, 10 - 14,159.6,83.3,76.3
2006, 15 - 19,149.2,80.2,69
2006, 20 - 24,146.3,79.1,67.2
2006, 25 - 29,109.7,61.2,48.5
2006, 30 - 34,91.2,49.6,41.6
2006, 35 - 39,89.4,47.1,42.3
2006, 40 - 44,86.9,44.7,42.1
2006, 45 - 49,78.9,40.6,38.3
2006, 50 - 54,65.2,33.9,31.3
2006, 55 - 59,52.3,27.7,24.7
2006, 60 - 64,36,19.6,16.5
2006, 65 - 69,27.1,14.1,13
2006, 70 - 74,16.5,8.3,8.2
2006, 75 - 79,9.8,4.5,5.2
2006, 80 - 84,4.8,2.2,2.6
2006, 85+,4,1.8,2.2
2007, 0 - 4,143,74.6,68.4
2007, 5 - 9,150.3,78.1,72.2
2007, 10 - 14,159.3,83,76.3
2007, 15 - 19,151,81.2,69.8
2007, 20 - 24,146.2,79.8,66.4
2007, 25 - 29,118.5,66,52.5
2007, 30 - 34,92.5,50.8,41.7
2007, 35 - 39,88.7,46.8,41.9
2007, 40 - 44,86.8,44.7,42
2007, 45 - 49,80.2,41.1,39.1
2007, 50 - 54,67,34.6,32.4
2007, 55 - 59,54.2,28.4,25.8
2007, 60 - 64,38.5,20.7,17.9
2007, 65 - 69,27.7,14.6,13.1
2007, 70 - 74,18,9.1,9
2007, 75 - 79,10,4.8,5.3
2007, 80 - 84,5.3,2.4,3
2007, 85+,4.1,1.9,2.3
2008, 0 - 4,144.1,75.3,68.8
2008, 5 - 9,149.2,77.9,71.3
2008, 10 - 14,158,82.3,75.8
2008, 15 - 19,154.4,82.8,71.6
2008, 20 - 24,143.4,79.2,64.2
2008, 25 - 29,128.2,71.4,56.8
2008, 30 - 34,94.1,52.4,41.8
2008, 35 - 39,88.8,46.8,42
2008, 40 - 44,86.1,44.6,41.6
2008, 45 - 49,81.1,41.3,39.8
2008, 50 - 54,69,35.4,33.6
2008, 55 - 59,55.5,28.9,26.6
2008, 60 - 64,41.6,21.9,19.6
2008, 65 - 69,27.8,14.8,13
2008, 70 - 74,19.9,10,9.9
2008, 75 - 79,10.2,4.9,5.2
2008, 80 - 84,5.9,2.6,3.3
2008, 85+,4.2,1.9,2.3
2009, 0 - 4,145.4,76.1,69.4
2009, 5 - 9,148.6,78,70.7
2009, 10 - 14,156.4,81.4,75
2009, 15 - 19,158.2,84.3,73.9
2009, 20 - 24,140.2,78.3,61.9
2009, 25 - 29,136.4,76.1,60.3
2009, 30 - 34,97,54.7,42.3
2009, 35 - 39,89.5,47.1,42.3
2009, 40 - 44,85.2,44.3,40.9
2009, 45 - 49,81.7,41.5,40.3
2009, 50 - 54,71.1,36.2,34.9
2009, 55 - 59,56.4,29.2,27.2
2009, 60 - 64,44.7,23.3,21.4
2009, 65 - 69,28.1,15,13.1
2009, 70 - 74,21.5,10.8,10.7
2009, 75 - 79,10.4,5.1,5.3
2009, 80 - 84,6.4,2.8,3.6
2009, 85+,4.4,2,2.4
2010, 0 - 4,146.9,76.7,70.2
2010, 5 - 9,148.6,78.4,70.2
2010, 10 - 14,154.6,80.5,74
2010, 15 - 19,160.7,85.1,75.6
2010, 20 - 24,138.6,78,60.6
2010, 25 - 29,141.3,79.3,62
2010, 30 - 34,101.7,58,43.7
2010, 35 - 39,90.7,48,42.7
2010, 40 - 44,84.3,44,40.3
2010, 45 - 49,81.9,41.5,40.4
2010, 50 - 54,73,36.9,36
2010, 55 - 59,57.4,29.5,27.9
2010, 60 - 64,47.3,24.4,22.9
2010, 65 - 69,29.2,15.5,13.7
2010, 70 - 74,22.7,11.5,11.3
2010, 75 - 79,11.2,5.6,5.6
2010, 80 - 84,6.7,3,3.7
2010, 85+,5.1,2.4,2.8
 ,,,,
